SKU,Cantidad_Pendiente,Fecha_Estimada,Proveedor,Estado_Pedido
ZAP-001,400,2026-04-15,GLOBAL-SUPPLY,CONFIRMADO
ZAP-001,100,2026-04-20,FACTOR-X,PENDIENTE
ZAP-002,200,2026-04-10,GLOBAL-SUPPLY,TRANSITO
ZAP-003,50,2026-05-01,LUX-FOOT,SOLICITADO
ACC-101,1000,2026-04-05,PROTECT-ALL,CONFIRMADO
ACC-202,300,2026-04-12,PROTECT-ALL,PENDIENTE
HER-001,20,2026-04-18,TOOLS-INC,CONFIRMADO
HER-002,80,2026-04-25,TOOLS-INC,SOLICITADO
HER-003,150,2026-04-30,TOOLS-INC,TRANSITO
ROPA-01,100,2026-04-08,TEXTIL-PRO,CONFIRMADO
ROPA-02,50,2026-04-15,TEXTIL-PRO,PENDIENTE
LIM-01,200,2026-04-22,CHEM-SOLUTIONS,CONFIRMADO
LIM-02,50,2026-05-10,CHEM-SOLUTIONS,SOLICITADO
OFF-01,10,2026-05-15,OFFICE-DESIGN,CONFIRMADO
ZAP-001,200,2026-05-20,GLOBAL-SUPPLY,SOLICITADO
